chosen_map,reward,reward_std,num_goal,prob_shortest_per_episode,prob_shortest_per_episode_std,dist_ratio_per_episode,dist_ratio_per_episode_std,num_goals_std,goal_first_found,goal_after_found,num_maps,goal_first_found_std,goal_after_found_std,sourcedir,loaded_model,vars,apple_prob,train_test_same,label,train,jsonfile
0127,65.22,24.81,6.55,0.22,0.22,3.38,3.48,2.49,161.30,180.07,1,125.79,108.98,2017_10_06_20_02_11-train_3D_4actions_blind-none_0001,training-1000,True,0,False,Random_Goal_Random_Spawn_Static_Maze,False,gen_stats_latest_loaded-from-training-1000_acting-on-training-09x09-0127_vars-True_apples-0.json
0169,73.03,28.28,7.33,0.21,0.19,4.04,9.21,2.83,162.44,162.76,1,123.94,103.81,2017_10_06_20_02_14-train_3D_4actions_blind-none_0001,training-1000,True,0,False,Random_Goal_Random_Spawn_Static_Maze,False,gen_stats_latest_loaded-from-training-1000_acting-on-training-09x09-0169_vars-True_apples-0.json
0246,64.26,30.08,6.45,0.19,0.18,2.63,1.71,3.01,204.90,199.56,1,158.96,98.67,2017_10_09_18_06_53-train_3D_4actions_blind-none_0001,training-1000,True,0,False,Random_Goal_Random_Spawn_Static_Maze,False,gen_stats_latest_loaded-from-training-1000_acting-on-training-09x09-0246_vars-True_apples-0.json
0336,54.96,21.95,5.53,0.33,0.26,2.29,1.32,2.20,197.75,223.02,1,137.36,105.38,2017_10_06_20_02_17-train_3D_4actions_blind-none_0001,training-1000,True,0,False,Random_Goal_Random_Spawn_Static_Maze,False,gen_stats_latest_loaded-from-training-1000_acting-on-training-09x09-0336_vars-True_apples-0.json
0445,60.80,23.30,6.11,0.35,0.26,2.55,3.33,2.34,199.64,202.68,1,135.47,86.66,2017_10_06_20_02_19-train_3D_4actions_blind-none_0001,training-1000,True,0,False,Random_Goal_Random_Spawn_Static_Maze,False,gen_stats_latest_loaded-from-training-1000_acting-on-training-09x09-0445_vars-True_apples-0.json
0589,70.91,35.05,7.12,0.26,0.22,2.78,1.57,3.51,183.14,183.08,1,158.21,101.31,2017_10_06_20_02_21-train_3D_4actions_blind-none_0001,training-1000,True,0,False,Random_Goal_Random_Spawn_Static_Maze,False,gen_stats_latest_loaded-from-training-1000_acting-on-training-09x09-0589_vars-True_apples-0.json
0691,60.62,26.11,6.09,0.34,0.26,2.20,1.26,2.62,192.33,196.33,1,150.36,79.16,2017_10_06_20_02_23-train_3D_4actions_blind-none_0001,training-1000,True,0,False,Random_Goal_Random_Spawn_Static_Maze,False,gen_stats_latest_loaded-from-training-1000_acting-on-training-09x09-0691_vars-True_apples-0.json
0828,71.13,29.42,7.14,0.26,0.19,2.41,0.95,2.95,205.47,157.69,1,162.02,75.86,2017_10_06_20_02_25-train_3D_4actions_blind-none_0001,training-1000,True,0,False,Random_Goal_Random_Spawn_Static_Maze,False,gen_stats_latest_loaded-from-training-1000_acting-on-training-09x09-0828_vars-True_apples-0.json
0844,70.81,23.37,7.11,0.26,0.18,2.43,0.90,2.34,154.94,169.55,1,113.73,65.01,2017_10_06_20_02_26-train_3D_4actions_blind-none_0001,training-1000,True,0,False,Random_Goal_Random_Spawn_Static_Maze,False,gen_stats_latest_loaded-from-training-1000_acting-on-training-09x09-0844_vars-True_apples-0.json
0956,64.75,27.02,6.50,0.31,0.25,3.12,3.61,2.71,208.84,188.27,1,150.70,91.56,2017_10_06_20_02_28-train_3D_4actions_blind-none_0001,training-1000,True,0,False,Random_Goal_Random_Spawn_Static_Maze,False,gen_stats_latest_loaded-from-training-1000_acting-on-training-09x09-0956_vars-True_apples-0.json
