chosen_map,reward,reward_std,num_goal,prob_shortest_per_episode,prob_shortest_per_episode_std,dist_ratio_per_episode,dist_ratio_per_episode_std,num_goals_std,goal_first_found,goal_after_found,num_maps,goal_first_found_std,goal_after_found_std,sourcedir,loaded_model,vars,apple_prob,train_test_same,label,train,jsonfile
0127,117.42,32.92,11.78,0.35,0.22,1.54,0.33,3.30,169.19,94.94,1,134.68,21.49,2017_10_06_20_02_11-train_3D_4actions_blind-none_0001,training-09x09-0127,True,0,True,Random_Goal_Random_Spawn_Static_Maze,False,gen_stats_latest_loaded-from-training-09x09-0127_acting-on-training-09x09-0127_vars-True_apples-0.json
0169,89.55,31.09,8.99,0.28,0.18,1.95,2.18,3.11,179.61,124.54,1,135.12,76.67,2017_10_06_20_02_14-train_3D_4actions_blind-none_0001,training-09x09-0169,True,0,True,Random_Goal_Random_Spawn_Static_Maze,False,gen_stats_latest_loaded-from-training-09x09-0169_acting-on-training-09x09-0169_vars-True_apples-0.json
0246,102.51,42.34,10.28,0.42,0.22,1.48,0.99,4.24,228.92,102.87,1,211.75,29.65,2017_10_09_18_06_53-train_3D_4actions_blind-none_0001,training-09x09-0246,True,0,True,Random_Goal_Random_Spawn_Static_Maze,False,gen_stats_latest_loaded-from-training-09x09-0246_acting-on-training-09x09-0246_vars-True_apples-0.json
0336,86.44,41.28,8.69,0.54,0.27,1.13,0.34,4.13,215.49,131.75,1,146.92,84.94,2017_10_06_20_02_17-train_3D_4actions_blind-none_0001,training-09x09-0336,True,0,True,Random_Goal_Random_Spawn_Static_Maze,False,gen_stats_latest_loaded-from-training-09x09-0336_acting-on-training-09x09-0336_vars-True_apples-0.json
0445,81.03,28.95,8.14,0.38,0.24,1.51,0.61,2.90,213.12,143.17,1,152.04,52.77,2017_10_06_20_02_19-train_3D_4actions_blind-none_0001,training-09x09-0445,True,0,True,Random_Goal_Random_Spawn_Static_Maze,False,gen_stats_latest_loaded-from-training-09x09-0445_acting-on-training-09x09-0445_vars-True_apples-0.json
0589,109.76,42.95,11.01,0.34,0.23,1.56,0.75,4.30,174.57,116.89,1,164.86,70.23,2017_10_06_20_02_21-train_3D_4actions_blind-none_0001,training-09x09-0589,True,0,True,Random_Goal_Random_Spawn_Static_Maze,False,gen_stats_latest_loaded-from-training-09x09-0589_acting-on-training-09x09-0589_vars-True_apples-0.json
0691,84.44,35.70,8.48,0.33,0.25,1.33,0.50,3.57,232.35,133.25,1,186.99,47.48,2017_10_06_20_02_23-train_3D_4actions_blind-none_0001,training-09x09-0691,True,0,True,Random_Goal_Random_Spawn_Static_Maze,False,gen_stats_latest_loaded-from-training-09x09-0691_acting-on-training-09x09-0691_vars-True_apples-0.json
0828,98.13,29.85,9.85,0.26,0.19,1.90,0.72,2.99,156.89,117.12,1,128.66,31.86,2017_10_06_20_02_25-train_3D_4actions_blind-none_0001,training-09x09-0828,True,0,True,Random_Goal_Random_Spawn_Static_Maze,False,gen_stats_latest_loaded-from-training-09x09-0828_acting-on-training-09x09-0828_vars-True_apples-0.json
0844,119.89,35.77,12.02,0.40,0.20,1.40,0.52,3.58,150.47,97.33,1,128.60,38.26,2017_10_06_20_02_26-train_3D_4actions_blind-none_0001,training-09x09-0844,True,0,True,Random_Goal_Random_Spawn_Static_Maze,False,gen_stats_latest_loaded-from-training-09x09-0844_acting-on-training-09x09-0844_vars-True_apples-0.json
0956,112.07,41.83,11.24,0.44,0.23,1.28,0.37,4.19,209.19,101.75,1,174.80,36.98,2017_10_06_20_02_28-train_3D_4actions_blind-none_0001,training-09x09-0956,True,0,True,Random_Goal_Random_Spawn_Static_Maze,False,gen_stats_latest_loaded-from-training-09x09-0956_acting-on-training-09x09-0956_vars-True_apples-0.json
