chosen_map,reward,reward_std,num_goal,prob_shortest_per_episode,prob_shortest_per_episode_std,dist_ratio_per_episode,dist_ratio_per_episode_std,num_goals_std,goal_first_found,goal_after_found,num_maps,goal_first_found_std,goal_after_found_std,sourcedir,loaded_model,vars,apple_prob,train_test_same,label,train,jsonfile
0127,101.29,42.08,10.19,0.43,0.40,3.90,8.67,4.22,233.64,111.70,1,185.15,50.54,2017_10_14_17_13_52-train_3D_4actions_blind-none_0001,training-09x09-0127,True,0,True,Random_Goal_Static_Spawn_Static_Maze,False,gen_stats_latest_loaded-from-training-09x09-0127_acting-on-training-09x09-0127_vars-True_apples-0.json
0169,135.89,102.07,13.65,0.34,0.33,2.28,3.84,10.25,163.04,117.87,1,130.96,89.38,2017_10_14_17_13_54-train_3D_4actions_blind-none_0001,training-09x09-0169,True,0,True,Random_Goal_Static_Spawn_Static_Maze,False,gen_stats_latest_loaded-from-training-09x09-0169_acting-on-training-09x09-0169_vars-True_apples-0.json
0246,189.11,112.44,18.95,0.65,0.34,1.18,0.54,11.26,166.62,75.25,1,140.62,39.14,2017_10_14_17_13_55-train_3D_4actions_blind-none_0001,training-09x09-0246,True,0,True,Random_Goal_Static_Spawn_Static_Maze,False,gen_stats_latest_loaded-from-training-09x09-0246_acting-on-training-09x09-0246_vars-True_apples-0.json
0336,112.12,91.33,11.26,0.58,0.43,0.99,0.23,9.17,148.42,143.64,1,88.86,68.78,2017_10_14_17_13_57-train_3D_4actions_blind-none_0001,training-09x09-0336,True,0,True,Random_Goal_Static_Spawn_Static_Maze,False,gen_stats_latest_loaded-from-training-09x09-0336_acting-on-training-09x09-0336_vars-True_apples-0.json
0445,110.97,103.62,11.15,0.66,0.44,1.07,0.24,10.42,177.50,167.15,1,93.46,99.47,2017_10_14_17_13_59-train_3D_4actions_blind-none_0001,training-09x09-0445,True,0,True,Random_Goal_Static_Spawn_Static_Maze,False,gen_stats_latest_loaded-from-training-09x09-0445_acting-on-training-09x09-0445_vars-True_apples-0.json
0589,140.40,71.40,14.11,0.64,0.39,0.99,0.25,7.19,149.06,93.53,1,136.60,35.18,2017_10_14_17_14_01-train_3D_4actions_blind-none_0001,training-09x09-0589,True,0,True,Random_Goal_Static_Spawn_Static_Maze,False,gen_stats_latest_loaded-from-training-09x09-0589_acting-on-training-09x09-0589_vars-True_apples-0.json
0691,128.01,82.32,12.84,0.61,0.37,1.73,3.26,8.25,218.70,111.31,1,201.62,59.37,2017_10_14_17_48_07-train_3D_4actions_blind-none_0001,training-09x09-0691,True,0,True,Random_Goal_Static_Spawn_Static_Maze,False,gen_stats_latest_loaded-from-training-09x09-0691_acting-on-training-09x09-0691_vars-True_apples-0.json
0828,173.95,75.05,17.43,0.57,0.38,1.18,0.84,7.51,110.49,75.43,1,74.10,32.04,2017_10_14_17_14_05-train_3D_4actions_blind-none_0001,training-09x09-0828,True,0,True,Random_Goal_Static_Spawn_Static_Maze,False,gen_stats_latest_loaded-from-training-09x09-0828_acting-on-training-09x09-0828_vars-True_apples-0.json
0844,155.14,102.58,15.55,0.52,0.43,1.32,1.26,10.26,125.60,97.86,1,80.32,59.79,2017_10_14_17_14_07-train_3D_4actions_blind-none_0001,training-09x09-0844,True,0,True,Random_Goal_Static_Spawn_Static_Maze,False,gen_stats_latest_loaded-from-training-09x09-0844_acting-on-training-09x09-0844_vars-True_apples-0.json
0956,129.30,113.72,13.02,0.34,0.41,1.31,0.79,11.46,166.02,122.15,1,110.74,62.32,2017_10_14_17_14_09-train_3D_4actions_blind-none_0001,training-09x09-0956,True,0,True,Random_Goal_Static_Spawn_Static_Maze,False,gen_stats_latest_loaded-from-training-09x09-0956_acting-on-training-09x09-0956_vars-True_apples-0.json
