chosen_map,reward,reward_std,num_goal,prob_shortest_per_episode,prob_shortest_per_episode_std,dist_ratio_per_episode,dist_ratio_per_episode_std,num_goals_std,goal_first_found,goal_after_found,num_maps,goal_first_found_std,goal_after_found_std,sourcedir,loaded_model,vars,apple_prob,train_test_same,label,train,jsonfile
0127,155.27,16.44,15.55,0.72,0.12,1.06,0.06,1.65,71.63,75.24,1,26.65,8.07,2017_10_15_05_11_30-train_3D_4actions_blind-none_0001,training-09x09-0127,True,0,True,Static_Goal_Random_Spawn_Static_Maze,False,gen_stats_latest_loaded-from-training-09x09-0127_acting-on-training-09x09-0127_vars-True_apples-0.json
0169,140.41,15.04,14.07,0.37,0.13,1.08,0.09,1.51,76.85,83.55,1,30.26,8.02,2017_10_06_20_01_55-train_3D_4actions_blind-none_0001,training-09x09-0169,True,0,True,Static_Goal_Random_Spawn_Static_Maze,False,gen_stats_latest_loaded-from-training-09x09-0169_acting-on-training-09x09-0169_vars-True_apples-0.json
0246,83.26,9.97,8.36,0.76,0.14,1.04,0.12,1.00,123.45,139.40,1,38.57,18.07,2017_10_06_20_01_57-train_3D_4actions_blind-none_0001,training-09x09-0246,True,0,True,Static_Goal_Random_Spawn_Static_Maze,False,gen_stats_latest_loaded-from-training-09x09-0246_acting-on-training-09x09-0246_vars-True_apples-0.json
0336,83.94,17.12,8.46,0.61,0.16,0.93,0.07,1.68,136.38,136.61,1,57.92,36.93,2017_10_06_20_01_59-train_3D_4actions_blind-none_0001,training-09x09-0336,True,0,True,Static_Goal_Random_Spawn_Static_Maze,False,gen_stats_latest_loaded-from-training-09x09-0336_acting-on-training-09x09-0336_vars-True_apples-0.json
0445,122.97,19.59,12.33,0.91,0.08,0.90,0.03,1.96,94.82,94.33,1,49.63,16.48,2017_10_06_20_02_01-train_3D_4actions_blind-none_0001,training-09x09-0445,True,0,True,Static_Goal_Random_Spawn_Static_Maze,False,gen_stats_latest_loaded-from-training-09x09-0445_acting-on-training-09x09-0445_vars-True_apples-0.json
0589,104.91,12.32,10.57,0.68,0.15,0.89,0.04,1.23,112.29,109.10,1,30.94,13.19,2017_10_06_20_02_03-train_3D_4actions_blind-none_0001,training-09x09-0589,True,0,True,Static_Goal_Random_Spawn_Static_Maze,False,gen_stats_latest_loaded-from-training-09x09-0589_acting-on-training-09x09-0589_vars-True_apples-0.json
0691,156.15,21.39,15.69,0.46,0.12,1.02,0.09,2.14,78.05,74.23,1,41.85,10.37,2017_10_06_20_02_04-train_3D_4actions_blind-none_0001,training-09x09-0691,True,0,True,Static_Goal_Random_Spawn_Static_Maze,False,gen_stats_latest_loaded-from-training-09x09-0691_acting-on-training-09x09-0691_vars-True_apples-0.json
0828,152.15,18.82,15.23,0.82,0.11,0.98,0.05,1.88,83.37,76.54,1,40.91,9.75,2017_10_06_20_02_06-train_3D_4actions_blind-none_0001,training-09x09-0828,True,0,True,Static_Goal_Random_Spawn_Static_Maze,False,gen_stats_latest_loaded-from-training-09x09-0828_acting-on-training-09x09-0828_vars-True_apples-0.json
0844,208.46,19.74,20.87,0.87,0.08,0.97,0.04,1.97,52.16,56.48,1,23.04,5.32,2017_10_06_20_02_08-train_3D_4actions_blind-none_0001,training-09x09-0844,True,0,True,Static_Goal_Random_Spawn_Static_Maze,False,gen_stats_latest_loaded-from-training-09x09-0844_acting-on-training-09x09-0844_vars-True_apples-0.json
0956,97.34,10.70,9.76,0.78,0.15,1.00,0.06,1.07,123.47,117.48,1,37.52,12.38,2017_10_06_20_02_10-train_3D_4actions_blind-none_0001,training-09x09-0956,True,0,True,Static_Goal_Random_Spawn_Static_Maze,False,gen_stats_latest_loaded-from-training-09x09-0956_acting-on-training-09x09-0956_vars-True_apples-0.json
