chosen_map,reward,reward_std,num_goal,prob_shortest_per_episode,prob_shortest_per_episode_std,dist_ratio_per_episode,dist_ratio_per_episode_std,num_goals_std,goal_first_found,goal_after_found,num_maps,goal_first_found_std,goal_after_found_std,sourcedir,loaded_model,vars,apple_prob,train_test_same,label,train,jsonfile
0127,111.41,3.68,11.16,0.51,0.10,1.07,0.02,0.37,107.12,101.33,1,1.17,2.07,2017_10_15_05_11_22-train_3D_4actions_blind-none_0001,training-09x09-0127,True,0,True,Static_Goal_Static_Spawn_Static_Maze,False,gen_stats_latest_loaded-from-training-09x09-0127_acting-on-training-09x09-0127_vars-True_apples-0.json
0169,138.19,2.73,13.92,0.89,0.08,0.82,0.02,0.27,86.16,84.30,1,1.30,2.00,2017_10_06_20_01_17-train_3D_4actions_blind-none_0001,training-09x09-0169,True,0,True,Static_Goal_Static_Spawn_Static_Maze,False,gen_stats_latest_loaded-from-training-09x09-0169_acting-on-training-09x09-0169_vars-True_apples-0.json
0246,69.76,0.07,7.00,1.00,0.02,0.93,0.01,0.00,160.29,162.42,1,2.13,1.38,2017_10_06_20_01_18-train_3D_4actions_blind-none_0001,training-09x09-0246,True,0,True,Static_Goal_Static_Spawn_Static_Maze,False,gen_stats_latest_loaded-from-training-09x09-0246_acting-on-training-09x09-0246_vars-True_apples-0.json
0336,49.66,0.05,5.00,0.77,0.20,0.84,0.01,0.00,206.96,225.81,1,2.31,1.73,2017_10_09_18_06_21-train_3D_4actions_blind-none_0001,training-09x09-0336,True,0,True,Static_Goal_Static_Spawn_Static_Maze,False,gen_stats_latest_loaded-from-training-09x09-0336_acting-on-training-09x09-0336_vars-True_apples-0.json
0445,54.41,5.02,5.50,1.00,0.00,0.88,0.01,0.50,201.00,198.80,1,2.84,1.59,2017_10_06_20_01_22-train_3D_4actions_blind-none_0001,training-09x09-0445,True,0,True,Static_Goal_Static_Spawn_Static_Maze,False,gen_stats_latest_loaded-from-training-09x09-0445_acting-on-training-09x09-0445_vars-True_apples-0.json
0589,56.04,13.93,5.77,0.49,0.22,1.01,0.14,1.38,143.05,192.30,1,4.25,55.06,2017_10_06_20_01_24-train_3D_4actions_blind-none_0001,training-09x09-0589,True,0,True,Static_Goal_Static_Spawn_Static_Maze,False,gen_stats_latest_loaded-from-training-09x09-0589_acting-on-training-09x09-0589_vars-True_apples-0.json
0691,138.63,0.03,14.00,0.20,0.12,0.89,0.00,0.00,95.86,83.08,1,1.51,0.43,2017_10_14_09_19_18-train_3D_4actions_blind-none_0001,training-09x09-0691,True,0,True,Static_Goal_Static_Spawn_Static_Maze,False,gen_stats_latest_loaded-from-training-09x09-0691_acting-on-training-09x09-0691_vars-True_apples-0.json
0828,153.19,8.53,15.43,0.99,0.03,0.83,0.02,0.84,73.42,75.86,1,13.13,4.52,2017_10_06_20_01_27-train_3D_4actions_blind-none_0001,training-09x09-0828,True,0,True,Static_Goal_Static_Spawn_Static_Maze,False,gen_stats_latest_loaded-from-training-09x09-0828_acting-on-training-09x09-0828_vars-True_apples-0.json
0844,148.66,0.08,15.00,1.00,0.00,0.88,0.01,0.00,72.05,77.49,1,0.82,0.85,2017_10_06_20_01_29-train_3D_4actions_blind-none_0001,training-09x09-0844,True,0,True,Static_Goal_Static_Spawn_Static_Maze,False,gen_stats_latest_loaded-from-training-09x09-0844_acting-on-training-09x09-0844_vars-True_apples-0.json
0956,78.45,3.01,7.90,1.00,0.02,0.92,0.01,0.30,137.90,149.49,1,2.00,1.79,2017_10_14_09_19_20-train_3D_4actions_blind-none_0001,training-09x09-0956,True,0,True,Static_Goal_Static_Spawn_Static_Maze,False,gen_stats_latest_loaded-from-training-09x09-0956_acting-on-training-09x09-0956_vars-True_apples-0.json
