chosen_map,reward,reward_std,num_goal,prob_shortest_per_episode,prob_shortest_per_episode_std,dist_ratio_per_episode,dist_ratio_per_episode_std,num_goals_std,goal_first_found,goal_after_found,num_maps,goal_first_found_std,goal_after_found_std,sourcedir,loaded_model,vars,apple_prob,train_test_same,label,train,jsonfile
testing-100,29.8342793976,25.3837629289,3.01,0.173885109599,0.259120765849,3.61616736213,3.08585777926,2.54752821378,225.476190476,226.211702619,10,231.149841949,149.724181442,2017_10_06_20_02_33-train_3D_4actions_blind-none_0010,training-10,False,0,False,Random_Goal_Random_Spawn_Random_Maze,False,gen_stats_latest_loaded-from-training-10_acting-on-testing-100_vars-False_apples-0.json
testing-100,52.400078501,28.4964757844,5.27,0.21302709636,0.227372667662,3.07020222826,2.61150153973,2.85606372478,199.888888889,233.222954051,10,151.821052884,150.115799641,2017_10_06_20_02_33-train_3D_4actions_blind-none_0010,training-10,True,0,False,Random_Goal_Random_Spawn_Random_Maze,False,gen_stats_latest_loaded-from-training-10_acting-on-testing-100_vars-True_apples-0.json
testing-100,50.8802584684,25.7936353185,5.12,0.229267557839,0.263356131803,2.59060461398,1.44568103722,2.5817823301,228.747252747,212.852910891,10,168.115710636,132.564195115,2017_10_06_20_02_33-train_3D_4actions_blind-none_0010,training-10,True,25,False,Random_Goal_Random_Spawn_Random_Maze,False,gen_stats_latest_loaded-from-training-10_acting-on-testing-100_vars-True_apples-25.json
testing-100,28.7813747738,26.7179025583,2.9,0.296018062397,0.322644612664,3.38881352127,4.90763577814,2.6776855678,255.24137931,234.910940368,10,212.657917821,205.356103963,2017_10_06_20_02_33-train_3D_4actions_blind-none_0010,training-10,False,25,False,Random_Goal_Random_Spawn_Random_Maze,False,gen_stats_latest_loaded-from-training-10_acting-on-testing-100_vars-False_apples-25.json
testing-100,57.8070152056,22.768621971,5.81,0.234917321907,0.208314421755,2.4558362728,1.25504985625,2.27901294424,201.510204082,206.0965981,100,148.709430749,91.734997853,2017_10_06_20_02_35-train_3D_4actions_blind-none_0100,training-100,True,25,False,Random_Goal_Random_Spawn_Random_Maze,False,gen_stats_latest_loaded-from-training-100_acting-on-testing-100_vars-True_apples-25.json
testing-100,60.5949831757,32.2980763127,6.09,0.262522086757,0.232402131644,3.07906851332,5.07850532681,3.23757625393,176.795918367,218.138879114,100,139.341670752,144.819092435,2017_10_06_20_02_35-train_3D_4actions_blind-none_0100,training-100,True,0,False,Random_Goal_Random_Spawn_Random_Maze,False,gen_stats_latest_loaded-from-training-100_acting-on-testing-100_vars-True_apples-0.json
testing-100,60.56344944,21.7731291075,6.1,0.252464285714,0.240533345498,2.46410452428,1.63930489608,2.16564078277,195.01,193.322142639,100,142.940931507,99.729418388,2017_10_06_20_02_35-train_3D_4actions_blind-none_0100,training-100,False,25,False,Random_Goal_Random_Spawn_Random_Maze,False,gen_stats_latest_loaded-from-training-100_acting-on-testing-100_vars-False_apples-25.json
testing-100,62.4450256586,26.3835336869,6.29,0.291084054834,0.248609298787,2.30063586314,1.48459812598,2.61264234062,223.47,178.526872559,100,171.868406346,73.5641955164,2017_10_06_20_02_35-train_3D_4actions_blind-none_0100,training-100,False,0,False,Random_Goal_Random_Spawn_Random_Maze,False,gen_stats_latest_loaded-from-training-100_acting-on-testing-100_vars-False_apples-0.json
testing-100,56.0736589308,26.0325899378,5.67,0.253875435907,0.231911270993,2.90603395506,2.9738580664,2.56926059402,200.4375,211.320021709,500,139.052434093,101.967893573,2017_10_06_20_02_37-train_3D_4actions_blind-none_0500,training-500,False,25,False,Random_Goal_Random_Spawn_Random_Maze,False,gen_stats_latest_loaded-from-training-500_acting-on-testing-100_vars-False_apples-25.json
testing-100,60.3233920562,29.7382359543,6.06,0.288030624346,0.233575862658,3.2807464727,5.68953797862,2.97932878347,188.684210526,206.053752618,500,144.87986044,140.136523811,2017_10_06_20_02_37-train_3D_4actions_blind-none_0500,training-500,True,0,False,Random_Goal_Random_Spawn_Random_Maze,False,gen_stats_latest_loaded-from-training-500_acting-on-testing-100_vars-True_apples-0.json
testing-100,59.4128364944,23.8791259732,5.97,0.262888888889,0.255286382387,2.40304321562,1.10419714978,2.39355384314,190.58,196.607820206,500,139.808524776,87.5642662114,2017_10_06_20_02_37-train_3D_4actions_blind-none_0500,training-500,True,25,False,Random_Goal_Random_Spawn_Random_Maze,False,gen_stats_latest_loaded-from-training-500_acting-on-testing-100_vars-True_apples-25.json
testing-100,63.1202703762,24.5656341622,6.34,0.247958298716,0.230199224792,2.434369908,1.48610414332,2.45853614983,190.353535354,183.836555327,500,133.786828263,77.2291943717,2017_10_06_20_02_37-train_3D_4actions_blind-none_0500,training-500,False,0,False,Random_Goal_Random_Spawn_Random_Maze,False,gen_stats_latest_loaded-from-training-500_acting-on-testing-100_vars-False_apples-0.json
testing-100,53.5366626397,24.0339076894,5.38,0.22693452381,0.216927624578,2.62635948744,1.48730129003,2.40740524216,210.15625,210.572792768,1000,151.390934898,100.001061598,2017_10_06_20_02_39-train_3D_4actions_blind-none_1000,training-1000,True,25,False,Random_Goal_Random_Spawn_Random_Maze,False,gen_stats_latest_loaded-from-training-1000_acting-on-testing-100_vars-True_apples-25.json
testing-100,64.1074965477,24.0396804691,6.45,0.295795982917,0.228175196967,2.49934865982,1.43898902291,2.38903746308,212.585858586,178.499228815,1000,138.059276546,66.6290066458,2017_10_06_20_02_39-train_3D_4actions_blind-none_1000,training-1000,False,0,False,Random_Goal_Random_Spawn_Random_Maze,False,gen_stats_latest_loaded-from-training-1000_acting-on-testing-100_vars-False_apples-0.json
testing-100,67.7301702499,22.7145947724,6.8,0.369166666667,0.246081795345,2.08605124533,0.640562360318,2.27156333832,148.2,180.095000458,1000,47.0144658589,83.8749036302,2017_10_06_20_02_39-train_3D_4actions_blind-none_1000,training-1000,False,25,False,Random_Goal_Random_Spawn_Random_Maze,False,gen_stats_latest_loaded-from-training-1000_acting-on-testing-100_vars-False_apples-25.json
