chosen_map,reward,reward_std,num_goal,prob_shortest_per_episode,prob_shortest_per_episode_std,dist_ratio_per_episode,dist_ratio_per_episode_std,num_goals_std,goal_first_found,goal_after_found,num_maps,goal_first_found_std,goal_after_found_std,sourcedir,loaded_model,vars,apple_prob,train_test_same,label,train,jsonfile
planning-09x09-0002,88.4855304718,6.48114267934,8.86,0.31505952381,0.136782869305,1.34723998383,0.076959298773,0.648382603098,143.29,128.512757874,1000,21.1694567715,6.71403509591,2017_10_06_20_02_39-train_3D_4actions_blind-none_1000,training-1000,True,0,False,Random_Goal_Random_Spawn_Random_Maze,False,gen_stats_latest_loaded-from-training-1000_acting-on-planning-09x09-0002_vars-True_apples-0.json
planning-09x09-0002,78.2785748672,8.94056334583,7.87,0.364876984127,0.166788650513,1.37724396085,0.119246381785,0.890561620552,214.85,134.546412659,1,64.9551191208,11.8070415468,2017_10_21_10_13_31_998671-train_3D_4actions_blind-none_0001,planning-09x09-0001,True,0,False,Planning,False,gen_stats_latest_loaded-from-planning-09x09-0001_acting-on-planning-09x09-0002_vars-True_apples-0.json
planning-09x09-0002-left,94.2444281006,6.39666518057,9.45,0.437817460317,0.137424313213,1.28425285076,0.0714132046699,0.63835726674,93.98,123.425515594,1,1.59361224895,8.30316424696,2017_10_21_10_13_31_998671-train_3D_4actions_blind-none_0001,planning-09x09-0001,True,0,False,Planning,False,gen_stats_latest_loaded-from-planning-09x09-0001_acting-on-planning-09x09-0002-left_vars-True_apples-0.json
planning-09x09-0002-right,81.8024224091,12.6116560865,8.22,0.574932539683,0.14479664517,1.32953754655,0.206677232589,1.25363471554,96.23,136.033031845,1,14.9838946873,24.091175389,2017_10_21_10_13_31_998671-train_3D_4actions_blind-none_0001,planning-09x09-0001,True,0,False,Planning,False,gen_stats_latest_loaded-from-planning-09x09-0001_acting-on-planning-09x09-0002-right_vars-True_apples-0.json
planning-09x09-0004,92.6265235901,13.1834464633,9.28,0.360833333333,0.222176345179,1.22210656261,0.197745496462,1.31969693491,117.91,125.431222229,1000,28.1890386498,16.7108507025,2017_10_06_20_02_39-train_3D_4actions_blind-none_1000,training-1000,True,0,False,Random_Goal_Random_Spawn_Random_Maze,False,gen_stats_latest_loaded-from-training-1000_acting-on-planning-09x09-0004_vars-True_apples-0.json
planning-09x09-0004,82.433965683,16.0974058425,8.28,0.197357142857,0.201895170326,1.29211275609,0.322133512456,1.60673582147,150.39,138.722246017,1,78.1683945083,30.9761566456,2017_10_21_10_13_37_232191-train_3D_4actions_blind-none_0001,planning-09x09-0003,True,0,False,Planning,False,gen_stats_latest_loaded-from-planning-09x09-0003_acting-on-planning-09x09-0004_vars-True_apples-0.json
planning-09x09-0004-left,98.2965303946,12.5215761204,9.87,0.365897065897,0.16896569944,0.988471166856,0.0560102182092,1.23818415432,156.242424242,109.762289259,1,72.9671423091,5.67622222378,2017_10_21_10_13_37_232191-train_3D_4actions_blind-none_0001,planning-09x09-0003,True,0,False,Planning,False,gen_stats_latest_loaded-from-planning-09x09-0003_acting-on-planning-09x09-0004-left_vars-True_apples-0.json
planning-09x09-0004-left,100.993506699,6.51958214475,10.12,0.55245959596,0.150826586154,1.06905313316,0.0805406447831,0.652380257212,109.82,112.941850815,1000,26.5704271701,7.44913915465,2017_10_06_20_02_39-train_3D_4actions_blind-none_1000,training-1000,True,0,False,Random_Goal_Random_Spawn_Random_Maze,False,gen_stats_latest_loaded-from-training-1000_acting-on-planning-09x09-0004-left_vars-True_apples-0.json
planning-09x09-0004-right,69.6618100739,4.97684552307,6.99,0.11119047619,0.126887339106,1.50916657748,0.100690296965,0.499899989998,171.3,160.951952057,1000,17.0730782227,9.36847306264,2017_10_06_20_02_39-train_3D_4actions_blind-none_1000,training-1000,True,0,False,Random_Goal_Random_Spawn_Random_Maze,False,gen_stats_latest_loaded-from-training-1000_acting-on-planning-09x09-0004-right_vars-True_apples-0.json
planning-09x09-0004-right,67.9576216125,3.79081042564,6.83,0.0133333333333,0.0452155332208,1.60888237821,0.0463114410646,0.37563279942,177.03,166.66,1,16.9259888928,4.68098233491,2017_10_21_10_13_37_232191-train_3D_4actions_blind-none_0001,planning-09x09-0003,True,0,False,Planning,False,gen_stats_latest_loaded-from-planning-09x09-0003_acting-on-planning-09x09-0004-right_vars-True_apples-0.json
